split,label,width,height,path
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f0.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f1.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f10.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f11.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f12.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f13.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f14.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f2.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f3.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f4.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f5.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f6.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f7.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f8.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_000_f9.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f0.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f1.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f10.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f11.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f12.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f13.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f14.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f2.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f3.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f4.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f5.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f6.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f7.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f8.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_001_f9.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f0.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f1.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f10.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f11.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f12.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f13.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f14.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f2.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f3.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f4.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f5.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f6.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f7.jpg
train,real,299,299,C:\TFG\Dataset_Final_Procesado\Dataset_Final_Procesado\train\real\original_002_f8.jpg
